pyani,fastani,MashANI,orthoANI,avg_cANI_k21_sc1,avg_cANI_k21_sc10,avg_cANI_k21_sc100,avg_cANI_k21_sc1000
0.68707998,0,0,0.631937,0.664134969,0.661468334,0.673016439,0
0.670083436,0,0,0.62239,0.638659706,0.641638113,0.641649169,0
0.68143,0,0,0.609769,0.599360205,0.585197361,0,0
0.660405333,0,0,0.605263,0.581278232,0.559856912,0,0
0.69405275,0,0,0.627909,0.599997159,0.600689338,0,0
0.967191251,0.9657065,0.9666336,0.968176,0.966673349,0.966727054,0.966328899,0.966562978
0.987792616,0.986803,0.9872233,0.988529,0.987469858,0.987491473,0.987459285,0.98769464
0.967176561,0.9657795,0.9649585,0.96769,0.967356197,0.967328185,0.967033479,0.967563701
0.909555687,0.911802,0.9156698,0.910437,0.922590458,0.92274356,0.922369997,0.922359317
0.898514804,0.9017065,0.9151986,0.898588,0.916608665,0.91646466,0.916780998,0.916602646
0.895461596,0.910716,0.9217413,0.898187,0.931228272,0.931135915,0.930727866,0.930523765
0.708100645,0,0,0.680511,0.71341851,0.714042918,0.721795829,0.744556782
0.806841753,0.820108,0.813239,0.804588,0.84822125,0.84834853,0.847572184,0.852093594
0.805984287,0.820638,0.813239,0.803765,0.84856734,0.84854436,0.847233196,0.851614935
0.698668482,0,0,0.665619,0.680892383,0.680111928,0.667620028,0
0.721121787,0,0,0.684428,0.723392586,0.722944994,0.718081707,0.715142244
0.709703579,0,0,0.676606,0.714596818,0.715151037,0.714772774,0.7351749
0.712678487,0,0,0.674064,0.703235629,0.702815119,0.698893264,0.663762539
0.699552783,0,0,0.660734,0.66905529,0.669937712,0.661307297,0.696405062
0.707788233,0,0.704019,0.663153,0.690289877,0.69205912,0.689170728,0.702994115
0.704168,0,0,0.646967,0.669299057,0.670457213,0.666366839,0
0.702278402,0,0,0.642318,0.659236411,0.666501887,0.665657137,0
0.708261895,0,0,0.652873,0.6613445,0.662245931,0.657184348,0.659817147
0.707632097,0,0,0.640067,0.639957227,0.643387928,0.609717574,0
0.681721447,0,0,0.628806,0.627157325,0.637850262,0.622873735,0
0.718189956,0,0,0.654842,0.634207769,0.637662734,0,0
0.983023572,0.9833415,0.9864984,0.983391,0.987401318,0.987409607,0.987407329,0.987595841
0.986051169,0.9878325,0.9874125,0.988344,0.987226498,0.987237757,0.987163345,0.987193145
0.98293778,0.983719,0.9874125,0.983753,0.98808212,0.98808179,0.988215741,0.988288102
0.773776393,0.786633,0.796396,0.766118,0.805159738,0.804478206,0.804557379,0.80942317
0.775184922,0.7882015,0.76989,0.767812,0.804008042,0.803436685,0.801863157,0.79789985
0.773526271,0.7865385,0.796396,0.767514,0.804165167,0.803390083,0.803707051,0.803520323
0.697340884,0,0,0.667998,0.717999979,0.715319005,0.718407397,0.710464119
